,Frequency
Pre_2490,100.0
Pre_2178,100.0
Pre_1484,100.0
Pre_2797,100.0
Pre_1291,100.0
Pre_1716,100.0
Pre_1681,100.0
Pre_1685,100.0
Pre_2437,100.0
Pre_1293,100.0
Pre_1758,100.0
Pre_2816,100.0
Pre_2387,100.0
Pre_989,100.0
Pre_988,100.0
Pre_2260,100.0
Pre_1586,100.0
Pre_1825,100.0
Pre_2303,100.0
Pre_2154,100.0
Pre_2426,100.0
Pre_1787,100.0
Pre_1793,100.0
Pre_1590,100.0
Pre_2741,100.0
Pre_603,100.0
Pre_647,100.0
Pre_302,100.0
Pre_1581,100.0
Pre_1904,100.0
Pre_264,100.0
Pre_1308,100.0
Pre_1613,100.0
Pre_2381,100.0
Pre_825,101.0
Pre_1084,101.0
Pre_2268,101.0
Pre_316,101.0
Pre_200,101.0
Pre_1294,101.0
Pre_55,101.0
Pre_541,101.0
Pre_1418,101.0
Pre_2434,101.0
Pre_202,101.0
Pre_1407,101.0
Pre_233,101.0
Pre_201,101.0
Pre_457,101.0
Pre_2662,101.0
Pre_1332,101.0
Pre_618,101.0
Pre_2388,101.0
Pre_372,101.0
Pre_1227,101.0
Pre_2672,101.0
Pre_1564,101.0
Pre_1260,101.0
Pre_139,101.0
Pre_360,101.0
Pre_576,101.0
Pre_977,101.0
Pre_775,101.0
Pre_1463,102.0
Pre_2704,102.0
Pre_514,102.0
Pre_1524,102.0
Pre_107,102.0
Pre_1460,102.0
Pre_359,102.0
Pre_722,102.0
Pre_1319,102.0
Pre_298,102.0
Pre_267,102.0
Pre_2845,102.0
Pre_1781,102.0
Pre_2109,102.0
Pre_2293,102.0
Pre_1711,102.0
Pre_194,102.0
Pre_1288,102.0
Pre_2345,102.0
Pre_1489,102.0
Pre_1699,102.0
Pre_1584,103.0
Pre_1289,103.0
Pre_2552,103.0
Pre_1230,103.0
Pre_611,103.0
Pre_167,103.0
Pre_992,103.0
Pre_994,103.0
Pre_1011,103.0
Pre_1792,103.0
Pre_509,103.0
Pre_2341,103.0
Pre_215,103.0
Pre_2620,103.0
Pre_2884,103.0
Pre_218,103.0
Pre_2424,103.0
Pre_154,103.0
Pre_1869,103.0
Pre_1498,103.0
Pre_153,103.0
Pre_1922,103.0
Pre_1258,103.0
Pre_2428,103.0
Pre_1111,103.0
Pre_1292,103.0
Pre_1707,103.0
Pre_283,103.0
Pre_2368,103.0
Pre_1761,103.0
Pre_2053,103.0
Pre_2820,103.0
Pre_2344,103.0
Pre_386,103.0
Pre_2047,103.0
Pre_1273,103.0
Pre_840,103.0
Pre_2383,104.0
Pre_1242,104.0
Pre_2360,104.0
Pre_2384,104.0
Pre_171,104.0
Pre_1809,104.0
Pre_1066,104.0
Pre_197,104.0
Pre_1053,104.0
Pre_2735,104.0
Pre_2010,104.0
Pre_2103,104.0
Pre_1638,104.0
Pre_2264,104.0
Pre_64,104.0
Pre_649,104.0
Pre_648,104.0
Pre_1079,104.0
Pre_1250,105.0
Pre_1282,105.0
Pre_2729,105.0
Pre_1931,105.0
Pre_2148,105.0
Pre_93,105.0
Pre_2885,105.0
Pre_2,105.0
Pre_447,105.0
Pre_1636,105.0
Pre_2057,105.0
Pre_2136,105.0
Pre_1252,105.0
Pre_601,105.0
Pre_357,105.0
Pre_1031,105.0
Pre_1512,105.0
Pre_1206,105.0
Pre_1152,105.0
Pre_335,105.0
Pre_1371,105.0
Pre_1370,105.0
Pre_2813,105.0
Pre_1958,105.0
Pre_486,105.0
Pre_2295,105.0
Pre_867,105.0
Pre_1808,105.0
Pre_1351,105.0
Pre_2660,105.0
Pre_549,105.0
Pre_2436,105.0
Pre_924,105.0
Pre_1083,105.0
Pre_1455,105.0
Pre_1243,106.0
Pre_2386,106.0
Pre_484,106.0
Pre_1229,106.0
Pre_1340,106.0
Pre_1987,106.0
Pre_2201,106.0
Pre_1114,106.0
Pre_1704,106.0
Pre_659,106.0
Pre_1256,106.0
Pre_1947,106.0
Pre_1284,106.0
Pre_258,106.0
Pre_2472,106.0
Pre_2827,106.0
Pre_542,106.0
Pre_2289,107.0
Pre_1271,107.0
Pre_2052,107.0
Pre_2749,107.0
Pre_2054,107.0
Pre_2223,107.0
Pre_2470,107.0
Pre_1754,107.0
Pre_1,107.0
Pre_1078,107.0
Pre_1033,107.0
Pre_1032,107.0
Pre_1060,107.0
Pre_731,107.0
Pre_790,107.0
Pre_824,107.0
Pre_837,107.0
Pre_1125,107.0
Pre_575,107.0
Pre_85,107.0
Pre_393,107.0
Pre_765,107.0
Pre_655,107.0
Pre_922,107.0
Pre_1104,107.0
Pre_1140,107.0
Pre_465,107.0
Pre_657,108.0
Pre_795,108.0
Pre_2475,108.0
Pre_301,108.0
Pre_706,108.0
Pre_529,108.0
Pre_654,108.0
Pre_269,108.0
Pre_2037,108.0
Pre_2716,108.0
Pre_2711,108.0
Pre_2350,108.0
Pre_672,108.0
Pre_1441,108.0
Pre_1036,108.0
Pre_2288,108.0
Pre_155,108.0
Pre_213,108.0
Pre_1037,108.0
Pre_2098,108.0
Pre_2742,108.0
Pre_753,109.0
Pre_609,109.0
Pre_651,109.0
Pre_2763,109.0
Pre_2406,109.0
Pre_1050,109.0
Pre_380,109.0
Pre_2096,109.0
Pre_2858,109.0
Pre_2038,109.0
Pre_2048,109.0
Pre_2049,109.0
Pre_666,109.0
Pre_2168,109.0
Pre_1102,109.0
Pre_1998,109.0
Pre_676,109.0
Pre_772,109.0
Pre_1129,109.0
Pre_1751,109.0
Pre_2637,109.0
Pre_1720,109.0
Pre_1203,109.0
Pre_1776,109.0
Pre_466,109.0
Pre_1603,109.0
Pre_2320,109.0
Pre_2596,109.0
Pre_459,109.0
Pre_2869,109.0
Pre_1640,109.0
Pre_198,109.0
Pre_827,109.0
Pre_1871,109.0
Pre_2518,109.0
Pre_1226,109.0
Pre_32,109.0
Pre_942,109.0
Pre_1123,110.0
Pre_2686,110.0
Pre_1121,110.0
Pre_187,110.0
Pre_967,110.0
Pre_2659,110.0
Pre_653,110.0
Pre_1105,110.0
Pre_652,110.0
Pre_661,110.0
Pre_1120,110.0
Pre_2669,110.0
Pre_1027,110.0
Pre_2068,110.0
Pre_336,110.0
Pre_1024,110.0
Pre_2519,110.0
Pre_2482,110.0
Pre_2736,110.0
Pre_708,110.0
Pre_1069,110.0
Pre_2007,110.0
Pre_2464,110.0
Pre_2463,110.0
Pre_834,110.0
Pre_2712,110.0
Pre_1607,110.0
Pre_669,110.0
Pre_976,110.0
Pre_2507,110.0
Pre_667,110.0
Pre_1631,110.0
Pre_668,110.0
Pre_2319,110.0
Pre_2222,110.0
Pre_612,110.0
Pre_2396,110.0
Pre_2879,110.0
Pre_2184,110.0
Pre_2229,110.0
Pre_2180,110.0
Pre_1188,110.0
Pre_2321,110.0
Pre_2175,110.0
Pre_2143,110.0
Pre_2514,111.0
Pre_2142,111.0
Pre_515,111.0
Pre_1525,111.0
Pre_787,111.0
Pre_2242,111.0
Pre_1034,111.0
Pre_1035,111.0
Pre_1529,111.0
Pre_777,111.0
Pre_1504,111.0
Pre_1505,111.0
Pre_2382,111.0
Pre_1467,111.0
Pre_2473,111.0
Pre_1173,111.0
Pre_2001,111.0
Pre_1305,111.0
Pre_776,111.0
Pre_1176,111.0
Pre_2234,111.0
Pre_1048,111.0
Pre_1946,111.0
Pre_1296,111.0
Pre_771,111.0
Pre_501,111.0
Pre_1301,111.0
Pre_1555,111.0
Pre_2141,111.0
Pre_2471,111.0
Pre_2696,111.0
Pre_2639,111.0
Pre_1623,111.0
Pre_2640,111.0
Pre_1731,111.0
Pre_211,111.0
Pre_236,111.0
Pre_1249,111.0
Pre_1713,111.0
Pre_2685,111.0
Pre_179,111.0
Pre_1678,111.0
Pre_1677,111.0
Pre_2317,111.0
Pre_468,111.0
Pre_2557,111.0
Pre_2698,111.0
Pre_2280,111.0
Pre_1012,111.0
Pre_1009,111.0
Pre_132,111.0
Pre_1816,111.0
Pre_487,111.0
Pre_481,111.0
Pre_886,111.0
Pre_997,111.0
Pre_238,111.0
Pre_2700,111.0
Pre_1599,111.0
Pre_1601,111.0
Pre_2353,111.0
Pre_1780,111.0
Pre_2624,111.0
Pre_1274,111.0
Pre_946,111.0
Pre_665,111.0
Pre_2206,111.0
Pre_2147,111.0
Pre_638,111.0
Pre_2146,111.0
Pre_2398,111.0
Pre_395,111.0
Pre_1122,111.0
Pre_2443,111.0
Pre_2191,111.0
Pre_2087,111.0
Pre_2203,111.0
Pre_619,111.0
Pre_2429,111.0
Pre_947,111.0
Pre_1414,111.0
Pre_2407,111.0
Pre_1110,111.0
Pre_623,111.0
Pre_663,111.0
Pre_2071,111.0
Pre_431,111.0
Pre_1408,111.0
Pre_2456,111.0
Pre_2144,111.0
Pre_1459,111.0
Pre_602,112.0
Pre_983,112.0
Pre_885,112.0
Pre_985,112.0
Pre_1905,112.0
Pre_506,112.0
Pre_1109,112.0
Pre_2626,112.0
Pre_800,112.0
Pre_2864,112.0
Pre_498,112.0
