DQX1,Q8TE96,,
DRD2,P14416,,
DRD3,P35462,,
DSEL,Q8IZU8,,
DSPP,Q9NZW4,,
DST,Q03001,,
DUOX1,Q9NRD9,,
DUOX2,Q9NRD8,,
DUSP12,Q9UNI6,,
DUSP26,Q9BV47,,
DUSP6,Q16828,,
DUSP9,Q99956,,
DYRK1A,Q13627,,
DYRK3,O43781,,
E2F1,Q01094,,
EBI3,Q14213,,
EBP,Q15125,,
ECE1,P42892,,
ECE2,P0DPD6,,
ECSCR,Q19T08,,
EDARADD,Q8WWZ3,,
EDN1,P05305,,
EDNRA,P25101,,
EDNRB,P24530,,
EFNB2,P52799,,
EFNB3,Q15768,,
EGF,P01133,,
EGFR,P00533,,
EGR1,P18146,,
EGR2,P11161,,
EGR3,Q06889,,
EHD1,Q9H4M9,,
EHMT1,Q9H9B1,,
EHMT2,Q96KQ7,,
EIF2AK2,P19525,,
EIF2AK3,Q9NZJ5,,
EIF2AK4,Q9P2K8,,
EIF2B5,Q13144,,
EIF3F,O00303,,
EIF3K,Q9UBQ5,,
EIF4A2,Q14240,,
EIF4EBP1,Q13541,,
EIF4G1,Q04637,,
EIF5B,O60841,,
ELANE,P08246,,
ELAVL1,Q15717,,
ELAVL2,Q12926,,
ELK3,P41970,,
ELMO1,Q92556,,
ELN,P15502,,
ELOVL5,Q9NYP7,,
ELOVL6,Q9H5J4,,
ENAH,Q8N8S7,,
ENHO,Q6UWT2,,
ENO1,P06733,,
ENO2,P09104,,
ENOX1,Q8TC92,,
ENPP1,P22413,,
ENSA,O43768,,
ENTPD1,P49961,,
ENTPD3,O75355,,
EP300,Q09472,,
EPAS1,Q99814,,
EPC2,Q52LR7,,
EPHA4,P54764,,
EPHB1,P54762,,
EPHB2,P29323,,
EPHX1,P07099,,
EPHX2,P34913,,
EPO,P01588,,
EPO,P11678,,
EPOR,P19235,,
ERBB2,P04626,,
ERBB3,P21860,,
ERBB4,Q15303,,
ERFE,Q4G0M1,,
ERG,P11308,,
ERG,Q12809,,
ERO1A,Q96HE7,,
ERP44,Q9BS26,,
ERRFI1,Q9UJM3,,
ERVK-18,O42043,,
ERVK-18,P63123,,
ERVK-18,Q9QC07,,
ESM1,Q9NQ30,,
ESR1,P03372,,
ESR2,Q92731,,
ESRRA,P11474,,
ESRRB,O95718,,
ESRRG,P62508,,
ETFA,P13804,,
ETS1,P14921,,
ETV3,P41162,,
EVC,P57679,,
EXOC3L2,Q2M3D2,,
EXOC4,Q96A65,,
EXOC6,Q8TAG9,,
EXOG,Q9Y2C4,,
EXOSC4,Q9NPD3,,
EXT1,Q16394,,
EXT2,Q93063,,
EYA2,O00167,,
EYS,Q5T1H1,,
F2,P00734,,
F2R,P25116,,
F2RL1,P55085,,
F2RL2,O00254,,
F2RL3,Q96RI0,,
F3,P13726,,
F5,P12259,,
F7,P08709,,
FAAH,O00519,,
FAAH,Q7L5A8,,
FABP1,P07148,,
FABP2,P12104,,
FABP3,P05413,,
FABP4,P15090,,
FABP5,Q01469,,
FABP6,P51161,,
FADS1,O60427,,
FADS2,O95864,,
FADS3,Q9Y5Q0,,
FAF1,Q9UNN5,,
FAIM2,Q9BWQ8,,
FAM161A,Q3B820,,
FAM215A,Q9Y5M1,,
FAM234A,Q9H0X4,,
FAM3A,P98173,,
FAM3B,P58499,,
FAM3C,Q92520,,
FAM3D,Q96BQ1,,
FAM78B,Q5VT40,,
FANCD2,Q9BXW9,,
FAP,Q12884,,
FAS,P25445,,
FASLG,P48023,,
"FAS,FASN",P49327,,
FAT1,Q14517,,
FBL,P22087,,
FBLIM1,Q8WUP2,,
FBN1,P35555,,
FBN2,P35556,,
FBP1,P09467,,
FBRS,Q9HAH7,,
FBXL7,Q9UJT9,,
FBXO28,Q9NVF7,,
FBXO8,Q9NRD0,,
FBXW7,Q969H0,,
FCGR2B,P31994,,
FCGR3A,P08637,,
FCGR3B,O75015,,
FCGRT,P55899,,
FCHSD2,O94868,,
FCN3,O75636,,
FCP1,Q9Y5B0,,
FDXR,P22570,,
FEM1B,Q9UK73,,
FETUB,Q9UGM5,,
FFAR1,O14842,,
FFAR2,O15552,,
FFAR3,O14843,,
FFAR4,Q5NUL3,,
FGB,P02675,,
FGF1,P05230,,
FGF11,Q92914,,
FGF14,Q92915,,
FGF19,O95750,,
FGF2,P09038,,
FGF21,Q9NSA1,,
FGF23,Q9GZV9,,
FGFBP3,Q8TAT2,,
FGFR1,P11362,,
FGFR4,P22455,,
FGL1,Q08830,,
FGL2,Q14314,,
FHIT,P49789,,
FHL1,Q13642,,
FHL5,Q5TD97,,
FITM2,Q8N6M3,,
FKBP4,Q02790,,
FKBP5,Q13451,,
FLAD1,Q8NFF5,,
FLII,Q13045,,
FLNA,P21333,,
FLOT1,O75955,,
FLT1,P17948,,
FLVCR1,Q9Y5Y0,,
FMO3,P31513,,
FN1,P02751,,
FN3K,Q9H479,,
FNDC4,Q9H6D8,,
FNDC5,Q8NAU1,,
FOLH1,Q04609,,
FOLH1B,Q9HBA9,,
FOLR1,P15328,,
FOLR2,P14207,,
FOS,P01100,,
FOSL1,P15407,,
FOXA2,Q9Y261,,
FOXA3,P55318,,
FOXC2,Q99958,,
FOXD3,Q9UJU5,,
FOXM1,Q08050,,
FOXO1,Q12778,,
FOXO3,O43524,,
FOXO6,A8MYZ6,,
FOXP1,Q9H334,,
